token,numEn,numDe
aaa,0,0
aab,5,17
aac,12,7
aad,7,17
aae,0,0
aaf,10,15
aag,3,141
aah,2,0
aai,4,0
aaj,0,0
aak,3,8
aal,41,279
aam,13,43
aan,37,48
aao,4,5
aap,4,5
aaq,0,1
aar,53,1547
aas,23,65
aat,10,1322
aau,3,30
aav,2,1
aaw,0,0
aax,1,2
aay,0,0
aaz,1,3
aba,926,690
abb,1130,828
abc,10,8
abd,272,312
abe,823,7923
abf,2,476
abg,4,996
abh,21,707
abi,3269,1351
abj,21,5
abk,3,394
abl,8133,1163
abm,3,97
abn,67,259
abo,2756,553
abp,1,52
abq,0,7
abr,680,729
abs,1100,2467
abt,3,561
abu,480,342
abv,0,20
abw,12,715
abx,0,0
aby,553,308
abz,2,295
aca,1113,117
acb,3,4
acc,4996,116
acd,2,2
ace,6624,541
acf,2,3
acg,6,2
ach,5303,21479
aci,4178,150
acj,0,1
ack,10205,3912
acl,453,14
acm,7,1
acn,46,0
aco,1010,144
acp,1,1
acq,588,18
acr,1074,72
acs,40,7
act,11589,175
acu,824,93
acv,0,0
acw,0,0
acx,0,0
acy,646,29
acz,5,12
ada,1129,681
adb,94,65
adc,180,12
add,2329,179
ade,5179,4800
adf,101,104
adg,167,47
adh,293,69
adi,4521,2033
adj,749,40
adk,3,43
adl,501,193
adm,925,129
adn,99,43
ado,1244,494
adp,38,44
adq,33,0
adr,416,606
ads,484,255
adt,65,880
adu,361,526
adv,1983,44
adw,105,54
adx,0,0
ady,835,51
adz,12,20
aea,99,13
aeb,5,8
aec,157,14
aed,114,77
aee,0,3
aef,5,3
aeg,19,3
aeh,1,1
aei,10,15
aej,0,0
aek,3,7
ael,98,101
aem,645,20
aen,100,82
aeo,250,10
aep,13,14
aeq,2,2
aer,508,120
aes,279,48
aet,74,21
aeu,34,13
aev,64,38
aew,0,0
aex,0,7
aey,2,3
aez,0,0
afa,75,167
afb,21,54
afc,7,5
afd,0,11
afe,1014,1215
aff,2191,2433
afg,3,100
afh,7,16
afi,116,1109
afj,1,3
afk,2,37
afl,106,105
afm,46,59
afn,40,14
afo,102,87
afp,1,29
afq,0,3
afr,87,356
afs,19,139
aft,1855,9084
afu,20,52
afv,0,46
afw,5,22
afx,0,0
afy,27,0
afz,0,50
aga,1740,742
agb,12,157
agc,0,1
agd,24,416
age,13574,12643
agf,10,88
agg,879,487
agh,90,102
agi,1420,817
agj,1,4
agk,0,28
agl,395,238
agm,295,221
agn,1377,1343
ago,1325,692
agp,95,25
agq,0,2
agr,1593,397
ags,135,1522
agt,53,331
agu,609,920
agv,0,27
agw,37,121
agx,0,0
agy,49,16
agz,0,66
aha,172,200
ahb,0,19
ahc,1,1
ahd,3,7
ahe,243,356
ahf,0,10
ahg,1,6
ahh,4,5
ahi,92,197
ahj,1,1
ahk,0,11
ahl,52,6549
ahm,32,2792
ahn,37,3691
aho,171,159
ahp,1,5
ahq,0,0
ahr,33,7338
ahs,10,9
aht,6,657
ahu,52,47
ahv,4,21
ahw,7,7
ahx,0,0
ahy,27,35
ahz,0,2
aia,57,48
aib,13,53
aic,270,111
aid,1088,88
aie,18,161
aif,7,28
aig,524,49
aih,1,4
aii,62,104
aij,10,4
aik,43,208
ail,6892,615
aim,706,58
ain,11951,1133
aio,30,29
aip,24,22
aiq,6,3
air,5990,188
ais,1239,1107
ait,1206,537
aiu,4,2
aiv,84,37
aiw,53,60
aix,2,2
aiy,2,2
aiz,71,11
aja,75,143
ajb,0,0
ajc,0,0
ajd,2,2
aje,59,50
ajf,0,0
ajg,0,0
ajh,0,0
aji,22,13
ajj,4,1
ajk,1,0
ajl,1,1
ajm,1,1
ajn,2,2
ajo,462,127
ajp,3,1
ajq,0,0
ajr,1,0
ajs,0,0
ajt,0,0
aju,17,24
ajv,1,0
ajw,1,0
ajx,0,0
ajy,0,0
ajz,0,0
aka,322,655
akb,5,26
akc,3,4
akd,96,14
ake,8084,1328
akf,94,17
akg,2,14
akh,79,45
aki,1329,381
akj,0,0
akk,17,198
akl,33,184
akm,8,16
akn,72,21
ako,99,460
akp,9,16
akq,0,19
akr,26,551
aks,85,70
