token,numEn,numDe
aaa,2,2
aab,4,17
aac,13,11
aad,4,17
aae,1,30
aaf,14,15
aag,4,108
aah,,
aai,5,1
aaj,,
aak,1,8
aal,15,342
aam,11,46
aan,13,38
aao,4,6
aap,3,7
aaq,1,
aar,41,944
aas,27,82
aat,9,892
aau,4,32
aav,3,2
aaw,1,30
aax,1,2
aay,,
aaz,1,2
aba,283,629
abb,255,894
abc,4,37
abd,69,448
abe,222,
abf,2,726
abg,4,926
abh,16,506
abi,967,
abj,14,5
abk,6,380
abl,,
abm,3,118
abn,21,216
abo,341,554
abp,10,59
abq,6,
abr,172,773
abs,194,
abt,4,639
abu,123,311
abv,1,12
abw,9,685
abx,,
aby,89,249
abz,2,318
aca,317,147
acb,3,4
acc,531,126
acd,5,4
ace,602,
acf,3,4
acg,5,5
ach,,
aci,641,147
acj,1,
ack,,
acl,93,18
acm,6,4
acn,12,2
aco,375,148
acp,5,3
acq,71,16
acr,424,107
acs,27,12
act,187,
acu,202,81
acv,1,30
acw,1,30
acx,,
acy,176,42
acz,2,12
ada,281,667
adb,34,63
adc,28,16
add,317,233
ade,958,
adf,22,100
adg,28,48
adh,56,93
adi,852,
adj,114,54
adk,3,44
adl,83,215
adm,158,160
adn,37,44
ado,309,481
adp,14,47
adq,3,30
adr,200,730
ads,191,269
adt,29,642
adu,110,400
adv,162,111
adw,55,48
adx,,
ady,126,46
adz,10,19
aea,40,6
aeb,6,7
aec,57,10
aed,68,68
aee,3,
aef,3,3
aeg,19,6
aeh,1,
aei,8,15
aej,,
aek,2,7
ael,39,80
aem,335,20
aen,48,75
aeo,151,15
aep,10,12
aeq,2,4
aer,191,179
aes,148,55
aet,52,22
aeu,25,14
aev,29,30
aew,,
aex,7,
aey,3,
aez,1,
afa,42,131
afb,4,37
afc,6,4
afd,2,12
afe,121,864
aff,359,
afg,5,87
afh,2,13
afi,74,988
afj,3,
afk,2,30
afl,45,100
afm,5,44
afn,10,17
afo,44,80
afp,3,31
afq,3,
afr,60,278
afs,12,104
aft,265,
afu,13,38
afv,1,35
afw,4,22
afx,,
afy,10,3
afz,10,42
aga,10,245
agb,10,10
agc,10,1
agd,10,10
age,10,
agf,10,8
agg,10,333
agh,10,33
agi,10,468
agj,10,4
agk,10,25
agl,10,77
agm,10,82
agn,10,358
ago,10,449
agp,10,17
agq,10,2
agr,10,239
ags,10,48
agt,10,9
agu,10,148
agv,10,3
agw,10,12
agx,10,
agy,10,47
agz,10,51
aha,10,66
ahb,10,2
ahc,10,5
ahd,10,4
ahe,10,78
ahf,10,8
ahg,10,1
ahh,10,4
ahi,10,45
ahj,10,1
ahk,10,11
ahl,10,19
ahm,10,14
ahn,10,23
aho,10,52
ahp,10,2
ahq,10,1
ahr,10,20
ahs,10,8
aht,10,5
ahu,10,23
ahv,10,4
ahw,10,6
ahx,10,1
ahy,10,19
ahz,10,2
aia,10,29
aib,10,8
aic,10,87
aid,10,177
aie,10,11
aif,10,8
aig,10,71
aih,10,4
aii,10,12
aij,10,6
aik,10,22
ail,10,739
aim,10,89
ain,10,965
aio,10,24
aip,10,15
aiq,10,2
air,10,598
ais,10,250
ait,10,377
aiu,10,2
aiv,10,20
aiw,10,6
aix,10,2
aiy,10,1
aiz,10,14
aja,10,34
ajb,10,
ajc,10,
ajd,10,1
aje,10,15
ajf,10,
ajg,10,
ajh,10,
aji,10,16
ajj,10,4
ajk,10,1
ajl,10,1
ajm,10,2
ajn,10,1
ajo,10,50
ajp,10,3
ajq,10,
ajr,10,
ajs,10,
ajt,10,1
aju,10,10
ajv,10,2
ajw,10,1
ajx,10,
ajy,10,
ajz,10,
aka,10,127
akb,10,1
akc,10,4
akd,10,6
ake,10,723
akf,10,11
akg,10,15
akh,10,51
aki,10,379
akj,10,1
akk,10,19
akl,10,18
akm,10,5
akn,10,5
ako,10,49
akp,10,5
akq,10,31
akr,10,13
aks,10,44
akt,10,9
aku,10,29
akv,10,1
akw,10,4
akx,10,
aky,10,21
akz,10,191
ala,10,843
alb,10,116
alc,10,344
ald,10,199
ale,10,905
alf,10,229
alg,10,179
alh,10,13
ali,10,
alj,10,26
alk,10,290
all,10,
alm,10,259
aln,10,91
alo,10,568
alp,10,197
alq,10,3
alr,10,25
als,10,413
alt,10,419
alu,10,332
alv,10,155
alw,10,26
alx,10,1
aly,10,291
alz,10,10
ama,10,527
amb,10,423
amc,10,15
amd,10,7
ame,10,945
amf,10,20
amg,10,6
amh,10,8
ami,10,939
amj,10,2
amk,10,2
aml,10,34
amm,10,399
amn,10,65
amo,10,361
amp,10,596
amq,10,
amr,10,14
ams,10,129
amt,10,15
amu,10,83
amv,10,2
amw,10,9
amx,10,
amy,10,127
amz,10,1
ana,10,916
anb,10,37
anc,10,668
and,10,
ane,10,830
anf,10,29
ang,10,
anh,10,60
ani,10,
anj,10,36
ank,10,481
anl,10,74
anm,10,15
ann,10,610
ano,10,757
anp,10,18
anq,10,44
anr,10,10
ans,10,
ant,10,
anu,10,206
anv,10,16
anw,10,12
anx,10,23
any,10,146
anz,10,49
aoa,10,2
aob,10,4
aoc,10,8
aod,10,11
aoe,10,4
aof,10,5
aog,10,4
aoh,10,5
aoi,10,16
aoj,10,
aok,10,1
aol,10,12
aom,10,4
aon,10,16
aoo,10,2
aop,10,8
aoq,10,1
aor,10,43
aos,10,16
aot,10,11
aou,10,10
aov,10,1
aow,10,4
aox,10,2
aoy,10,1
aoz,10,2
apa,10,228
apb,10,15
apc,10,3
apd,10,14
ape,10,663
apf,10,13
apg,10,2
aph,10,
api,10,332
apj,10,4
apk,10,5
apl,10,149
apm,10,7
apn,10,30
apo,10,408
app,10,786
apq,10,1
apr,10,133
aps,10,224
apt,10,228
apu,64,255
apv,4,14
apw,10,4
apx,1,30
apy,112,35
apz,2,
aqa,5,5
aqb,,
aqc,,
aqd,,
aqe,,
aqf,,
aqg,,
aqh,,
aqi,6,4
aqj,,
aqk,1,
aql,1,2
aqm,,
aqn,,
aqo,,
aqp,1,1
aqq,3,1
aqr,,
aqs,2,2
aqt,1,1
aqu,122,156
aqv,,
aqw,,
aqx,,
aqy,,
aqz,,
ara,,
arb,469,
arc,759,890
ard,,
are,914,
arf,97,617
arg,442,828
arh,32,75
ari,,
arj,8,22
ark,534,
arl,336,514
arm,544,
arn,281,
aro,419,896
arp,271,340
arq,25,25
arr,710,
ars,491,
art,,
aru,59,383
arv,107,329
arw,53,158
arx,14,19
ary,766,275
arz,15,
asa,176,505
asb,25,198
asc,292,
asd,7,46
ase,,
asf,3,199
asg,6,100
ash,639,299
asi,823,
asj,4,
ask,141,801
asl,22,65
asm,216,508
asn,12,54
aso,234,205
asp,224,485
asq,36,7
asr,3,73
ass,,
ast,,
asu,123,257
asv,4,63
asw,8,65
asx,1,30
asy,94,128
asz,2,122
ata,607,
atb,37,100
atc,342,114
atd,4,36
ate,,
atf,34,84
atg,13,123
ath,,
ati,,
atj,1,11
atk,16,165
atl,61,272
atm,56,294
atn,22,31
ato,,
atp,20,63
atq,2,
atr,481,
ats,208,
att,726,
atu,448,
atv,9,63
atw,23,61
atx,1,2
aty,65,65
atz,22,
aua,6,130
aub,40,
auc,128,
aud,188,452
aue,21,
auf,20,
aug,189,
auh,3,192
aui,14,173
auj,7,14
auk,7,612
aul,222,813
aum,86,
aun,183,
auo,3,30
aup,35,
auq,1,3
aur,228,631
aus,334,
aut,625,
auu,1,152
auv,14,71
auw,1,210
aux,48,67
auy,2,2
auz,8,241
ava,283,400
avb,7,
avc,2,1
avd,3,2
ave,744,446
avf,1,3
avg,2,1
avh,1,
avi,491,752
avj,,
avk,1,6
avl,10,10
avm,3,3
avn,2,1
avo,228,175
avp,1,4
avq,,
avr,14,8
avs,7,9
avt,3,
avu,20,31
avv,14,1
avw,1,
avx,,
avy,42,6
avz,,
awa,154,287
awb,35,4
awc,4,30
awd,26,2
awe,69,100
awf,20,3
awg,7,2
awh,8,2
awi,48,184
awj,1,
awk,65,16
awl,79,18
awm,11,1
awn,106,5
awo,20,25
awp,8,1
awq,,
awr,9,10
aws,51,16
awt,11,4
awu,10,
awv,2,
aww,4,30
awx,,
awy,12,30
awz,1,1
axa,26,67
axb,4,13
axc,3,1
axd,6,
axe,66,103
axf,2,5
axg,5,
axh,2,5
axi,255,596
axj,,
axk,7,
axl,17,9
axm,2,3
axn,1,4
axo,66,89
axp,9,6
axq,,
axr,1,2
axs,3,8
axt,4,33
axu,3,
axv,1,2
axw,9,14
axx,1,30
axy,17,2
axz,,
aya,96,176
ayb,31,10
ayc,10,4
ayd,16,8
aye,184,107
ayf,23,7
ayg,6,4
ayh,6,4
ayi,115,34
ayj,,
ayk,3,7
ayl,39,33
aym,65,10
ayn,11,10
ayo,52,40
ayp,8,3
ayq,,
ayr,16,26
ays,155,40
ayt,13,6
ayu,9,9
ayv,,
ayw,21,4
ayx,,
ayy,6,4
ayz,,
aza,86,138
azb,,
azc,3,5
azd,3,1
aze,182,369
azf,1,2
azg,3,2
azh,5,5
azi,169,973
azj,,
azk,1,4
azl,3,6
azm,2,1
azn,1,1
azo,174,275
azp,1,1
azq,,
azr,1,30
azs,1,30
azt,4,20
azu,23,92
azv,2,
azw,1,40
azx,,
azy,24,29
azz,68,95
baa,7,16
bab,175,303
bac,681,852
bad,85,436
bae,21,19
baf,13,15
bag,140,164
bah,29,
bai,82,111
baj,7,64
bak,64,388
bal,590,
bam,38,180
ban,573,
bao,11,11
bap,48,27
baq,10,7
bar,763,
bas,589,
bat,429,706
bau,49,
bav,14,4
baw,22,8
bax,1,7
bay,58,69
baz,19,38
bba,44,467
bbb,3,1
bbc,1,1
bbd,1,2
bbe,203,526
bbf,1,1
bbg,1,
bbh,,
bbi,154,190
bbj,,
bbk,,
bbl,166,126
bbm,1,30
bbn,,
bbo,42,60
bbp,2,3
bbq,1,1
bbr,29,218
bbs,6,23
bbt,6,
bbu,10,22
bbv,,
bbw,1,1
bbx,,
bby,54,77
bbz,,
bca,20,4
bcb,,
bcc,2,1
bcd,2,4
bce,5,30
bcf,1,30
bcg,2,1
bch,8,321
bci,3,2
bcj,1,30
bck,,
bcl,17,6
bcm,2,2
bcn,2,30
bco,33,9
bcp,3,2
bcq,,
bcr,1,1
bcs,3,2
bct,6,2
bcu,7,2
bcv,1,30
bcw,,
bcx,,
bcy,,
bcz,2,
bda,8,95
bdb,,
bdc,2,1
bdd,2,30
bde,13,137
bdf,1,1
bdg,1,1
bdh,1,
bdi,29,86
bdj,,
bdk,,
bdl,,
bdm,1,3
bdn,,
bdo,55,130
bdp,,
bdq,,
bdr,2,138
bds,5,6
bdt,1,1
bdu,36,59
bdv,1,30
bdw,1,30
bdx,,
bdy,,
bdz,,
bea,491,789
beb,6,284
bec,89,539
bed,344,
bee,134,888
bef,47,
beg,77,
beh,77,
bei,58,
bej,4,31
bek,11,599
bel,542,
bem,22,289
ben,320,
beo,4,191
bep,8,141
beq,10,24
ber,,
bes,228,
bet,205,
beu,7,785
bev,21,272
bew,25,
bex,5,7
bey,21,6
bez,16,964
bfa,5,318
bfb,,
bfc,1,30
bfd,2,1
bfe,8,110
bff,1,30
bfg,1,1
bfh,1,
bfi,9,79
bfj,1,
bfk,,
bfl,3,217
bfm,1,30
bfn,2,1
bfo,11,61
bfp,3,1
bfq,,
bfr,6,115
bfs,2,1
bft,2,1
bfu,13,30
bfv,1,
bfw,,
bfx,,
bfy,,
bfz,,
bga,4,261
bgb,3,
bgc,,
bgd,1,30
bge,4,637
bgf,1,
bgg,1,
bgh,1,3
bgi,2,19
bgj,,
bgk,,
bgl,4,65
bgm,1,
bgn,1,1
bgo,4,9
bgp,1,1
bgq,,
bgr,9,86
bgs,1,
bgt,1,
bgu,26,
bgv,1,
bgw,1,
bgx,,
bgy,1,30
bgz,,
bha,11,188
bhb,1,1
bhc,3,30
bhd,1,1
bhe,9,79
bhf,1,1
bhg,,
bhh,,
bhi,5,20
bhj,,
bhk,2,
bhl,1,30
bhm,1,1
bhn,,
bho,14,100
bhp,1,1
bhq,,
bhr,,
bhs,1,1
bht,2,1
bhu,5,49
bhv,,
bhw,,
bhx,,
bhy,3,2
bhz,1,
bia,510,172
bib,85,348
bic,287,122
bid,132,119
bie,102,
bif,35,30
big,98,421
bih,6,7
bii,10,8
bij,6,13
bik,33,179
bil,,
bim,24,50
bin,484,
bio,652,
bip,42,40
biq,31,32
bir,261,684
bis,183,836
bit,506,842
biu,22,48
biv,31,27
biw,4,18
bix,1,3
